ID,Date,Transporter,Vehicle,Vehicle Plate Number,Trailer,Trailer Plate Number,Driver,Driver Name,Customer,Start Date,Cargo Type,Main Cargo Loading Point,Main Cargo Offloading Point,Main Route,Total Distance,Total Fuel Consumption Qty,Fuel Stock Out,Reference Doctype,Reference Document,Transportation Order,Company,Main Trip Status,Status,Invoice Number,ID (Main Route Steps),Location (Main Route Steps),Distance (Main Route Steps),Type (Main Route Steps),Arrival Date (Main Route Steps),Departure Date (Main Route Steps),Loading Date (Main Route Steps),Offloading Date (Main Route Steps),Fuel Consumption Qty (Main Route Steps),Additional Comment (Main Route Steps)
TRIP008,2026-03-24,In House,GJ06TX4131,GJ06TX4131,GJ06TT4131,GJ06TT4131,HR-DRI-2026-00009,Mahesh Prajapati,Nova Specialty Chemicals Ltd,2026-03-24,Sodium Hypochlorite,Bharuch Industrial Tank Farm,Nova Taloja Tank Farm,Bharuch Tank Farm to Taloja Tank Farm,430.0,160.0,150.0,Transport Assignment,ASSIGN025,TORD-2026-00009,Transport,EM,Open,HZINV-008,faqeoimbk7,Bharuch Industrial Tank Farm,0.0,Loading Point,2026-03-24,2026-03-24,2026-03-24,,0.0,Dispatched from source terminal and currently en route.
,,,,,,,,,,,,,,,,,,,,,,,,,faqksijtsq,Nova Taloja Tank Farm,430.0,Offloading Point,,,,,160.0,Consignee delivery milestone for the assigned hazardous load.
TRIP007,2026-03-24,In House,GJ06TX4124,GJ06TX4124,GJ06TT4124,GJ06TT4124,HR-DRI-2026-00008,Sandeep Chouhan,Shakti Industrial Gases Pvt Ltd,2026-03-24,Sulphuric Acid,Apex Chlorochem Dahej Plant,Panipat Process Plant,Dahej Plant to Panipat Plant,1135.0,395.0,365.0,Transport Assignment,ASSIGN024,TORD-2026-00008,Transport,WORKING,Open,HZINV-007,fap90a3agh,Apex Chlorochem Dahej Plant,0.0,Loading Point,2026-03-24,2026-03-24,2026-03-24,,0.0,Long-haul movement underway on approved hazchem route.
,,,,,,,,,,,,,,,,,,,,,,,,,fapa62fctp,Panipat Process Plant,1135.0,Offloading Point,,,,,395.0,Consignee delivery milestone for the assigned hazardous load.
TRIP006,2026-03-24,In House,RJ14TX3342,RJ14TX3342,RJ14TT3342,RJ14TT3342,HR-DRI-2026-00007,Ajay Yadav,Apex Chlorochem Pvt Ltd,2026-03-24,Hydrochloric Acid,Nagothane Chemical Complex,Sanand Specialty Park,Nagothane Complex to Sanand Park,640.0,230.0,240.0,Transport Assignment,ASSIGN023,TORD-2026-00007,Transport,UNL,Open,HZINV-006,fao8189ul4,Nagothane Chemical Complex,0.0,Loading Point,2026-03-24,2026-03-24,2026-03-24,,0.0,Dispatch completed from source and unloading started at destination.
,,,,,,,,,,,,,,,,,,,,,,,,,fao4ve0a17,Sanand Specialty Park,640.0,Offloading Point,2026-03-24,,,2026-03-24,230.0,Consignee delivery milestone for the assigned hazardous load.
TRIP005,2026-03-24,In House,MH04LM7821,MH04LM7821,MH04TT7821,MH04TT7821,HR-DRI-2026-00006,Nilesh Parmar,Nova Specialty Chemicals Ltd,2026-03-24,Liquid Caustic Soda,Jhagadia Industrial Estate,Vadodara Chlor Alkali Depot,Jhagadia Estate to Vadodara Depot,72.0,28.0,32.0,Transport Assignment,ASSIGN022,TORD-2026-00006,Transport,LO,Open,HZINV-005,fanu4p0nb6,Jhagadia Industrial Estate,0.0,Loading Point,2026-03-24,2026-03-24,2026-03-24,,0.0,Loaded and ready for gate-out from source terminal.
,,,,,,,,,,,,,,,,,,,,,,,,,fanj1rnec6,Vadodara Chlor Alkali Depot,72.0,Offloading Point,,,,,28.0,Consignee delivery milestone for the assigned hazardous load.
TRIP004,2026-03-24,In House,GJ27TX2205,GJ27TX2205,GJ27TT2205,GJ27TT2205,HR-DRI-2026-00005,Devendra Rathod,Shakti Industrial Gases Pvt Ltd,2026-03-24,Sodium Hypochlorite,Hazira Bulk Terminal,Panipat Process Plant,Hazira Terminal to Panipat Plant,1210.0,420.0,395.0,Transport Assignment,ASSIGN021,TORD-2026-00005,Transport,EM,Open,HZINV-004,famo1fn6qe,Hazira Bulk Terminal,0.0,Loading Point,2026-03-24,2026-03-24,2026-03-24,,0.0,Dispatched from source terminal and currently en route.
,,,,,,,,,,,,,,,,,,,,,,,,,famau8nakg,Panipat Process Plant,1210.0,Offloading Point,,,,,420.0,Consignee delivery milestone for the assigned hazardous load.
TRIP003,2026-03-24,In House,GJ06TX4112,GJ06TX4112,GJ06TT9112,GJ06TT9112,HR-DRI-2026-00004,Rakesh Solanki,Nova Specialty Chemicals Ltd,2026-03-24,Sulphuric Acid,Bharuch Industrial Tank Farm,Pithampur Chemical Hub,Bharuch Tank Farm to Pithampur Hub,525.0,190.0,180.0,Transport Assignment,ASSIGN020,TORD-2026-00004,Transport,WORKING,Open,HZINV-003,fal8mns1kn,Bharuch Industrial Tank Farm,0.0,Loading Point,2026-03-24,2026-03-24,2026-03-24,,0.0,Long-haul movement underway on approved hazchem route.
,,,,,,,,,,,,,,,,,,,,,,,,,falk51osin,Pithampur Chemical Hub,525.0,Offloading Point,,,,,190.0,Consignee delivery milestone for the assigned hazardous load.
TRIP002,2026-03-24,In House,GJ06TX4107,GJ06TX4107,GJ06TT9107,GJ06TT9107,HR-DRI-2026-00003,Imran Shaikh,Apex Chlorochem Pvt Ltd,2026-03-24,Hydrochloric Acid,Apex Chlorochem Dahej Plant,Jhagadia Industrial Estate,Dahej Plant to Jhagadia Estate,90.0,34.0,28.0,Transport Assignment,ASSIGN019,TORD-2026-00003,Transport,EM,Open,HZINV-002,fak4c7jmv3,Apex Chlorochem Dahej Plant,0.0,Loading Point,2026-03-24,2026-03-24,2026-03-24,,0.0,Dispatched from source terminal and currently en route.
,,,,,,,,,,,,,,,,,,,,,,,,,fakjeo2niv,Jhagadia Industrial Estate,90.0,Offloading Point,,,,,34.0,Consignee delivery milestone for the assigned hazardous load.
TRIP001,2026-03-24,In House,GJ06TX4101,GJ06TX4101,GJ06TT9101,GJ06TT9101,HR-DRI-2026-00002,Harshad Patel,Apex Chlorochem Pvt Ltd,2026-03-24,Liquid Caustic Soda,Apex Chlorochem Dahej Plant,Nova Taloja Tank Farm,Dahej Plant to Taloja Tank Farm,580.0,210.0,220.0,Transport Assignment,ASSIGN018,TORD-2026-00002,Transport,LO,Open,HZINV-001,fai936dve6,Apex Chlorochem Dahej Plant,0.0,Loading Point,2026-03-24,2026-03-24,2026-03-24,,0.0,Loaded and ready for gate-out from source terminal.
,,,,,,,,,,,,,,,,,,,,,,,,,fai684evvs,Nova Taloja Tank Farm,580.0,Offloading Point,,,,,210.0,Consignee delivery milestone for the assigned hazardous load.
